Time,Current,AcX,AcY,AcZ,GyX,GyY,GyZ,Freq
19:05:33.553,0.02,-11336,4856,-11304,200,-7,-43,99.99
19:05:33.580,0.03,-11320,4784,-11200,221,-2,-83,90.90
19:05:33.582,0.03,-11320,4748,-11144,217,15,-69,90.90
19:05:33.582,0.03,-11344,4808,-11200,199,-3,-37,99.99
19:05:33.585,0.03,-11376,4856,-11256,163,21,-72,99.99
19:05:33.597,0.02,-11316,4812,-11200,205,-45,-64,90.90
19:05:33.607,0.02,-11388,4832,-11288,190,26,-20,99.99
19:05:33.618,0.04,-11324,4800,-11240,215,12,-54,99.99
19:05:33.629,0.03,-11388,4872,-11248,212,-17,-71,90.90
19:05:33.638,0.03,-11348,4824,-11204,196,19,-66,90.90
19:05:33.650,0.04,-11376,4812,-11340,191,-3,-88,99.99
19:05:33.658,0.03,-11348,4840,-11224,214,26,-52,99.99
19:05:33.671,0.02,-11336,4792,-11240,187,18,-46,99.99
19:05:33.679,0.03,-11304,4756,-11276,180,4,-92,90.90
19:05:33.691,0.03,-11332,4788,-11232,205,-6,-68,90.90
19:05:33.699,0.03,-11368,4860,-11288,203,3,-59,99.99
19:05:33.712,0.01,-11344,4784,-11204,191,-10,-70,99.99
19:05:33.720,0.03,-11336,4808,-11140,200,-5,-46,90.90
19:05:33.732,0.01,-11296,4812,-11172,200,21,-71,99.99
19:05:33.744,0.03,-11324,4776,-11236,201,-13,-56,99.99
19:05:33.753,0.00,-11360,4840,-11204,171,-5,-82,99.99
19:05:33.765,0.03,-11360,4804,-11164,189,1,-53,83.33
19:05:33.773,0.01,-11388,4776,-11156,259,39,-69,99.99
19:05:33.785,0.03,-11304,4780,-11252,157,9,-59,99.99
19:05:33.793,0.02,-11348,4892,-11232,174,18,-53,99.99
19:05:33.806,0.02,-11388,4832,-11132,178,37,-59,90.90
19:05:33.814,0.01,-11308,4804,-11220,203,27,-65,99.99
19:05:33.826,0.02,-11300,4792,-11272,198,23,-86,90.90
19:05:33.838,0.03,-11392,4896,-11164,168,-1,-59,99.99
19:05:33.847,0.02,-11296,4756,-11212,224,30,-53,90.90
19:05:33.859,0.01,-11356,4784,-11308,183,-6,-57,99.99
19:05:33.868,0.02,-11280,4868,-11200,206,28,-51,99.99
19:05:33.879,0.02,-11368,4764,-11236,224,23,-62,99.99
19:05:33.888,0.03,-11336,4824,-11252,134,6,-60,90.90
19:05:33.900,0.03,-11360,4828,-11184,206,1,-57,90.90
19:05:33.908,0.01,-11344,4788,-11156,168,23,-79,99.99
19:05:33.920,0.01,-11376,4856,-11200,251,29,-59,99.99
19:05:33.929,0.01,-11352,4784,-11232,184,8,-43,99.99
19:05:33.941,0.02,-11264,4880,-11200,184,39,-79,90.90
19:05:33.953,0.01,-11368,4776,-11276,185,-15,-74,99.99
19:05:33.962,0.03,-11328,4748,-11260,214,-20,-63,90.90
19:05:33.974,0.01,-11336,4764,-11220,210,24,-63,99.99
19:05:33.982,0.01,-11328,4788,-11332,196,-24,-86,90.90
19:05:33.994,0.02,-11388,4832,-11256,207,16,-84,99.99
19:05:34.002,0.01,-11312,4844,-11228,176,14,-88,99.99
19:05:34.015,0.02,-11416,4800,-11272,182,23,-52,90.90
19:05:34.023,0.02,-11360,4800,-11276,169,-8,-72,90.90
19:05:34.035,0.02,-11320,4788,-11232,173,4,-68,99.99
19:05:34.043,0.02,-11384,4788,-11268,218,42,-44,99.99
19:05:34.056,0.02,-11312,4800,-11380,182,25,-56,99.99
19:05:34.068,0.02,-11340,4712,-11260,203,-1,-97,90.90
19:05:34.076,0.02,-11320,4788,-11276,194,9,-76,99.99
19:05:34.088,0.03,-11360,4784,-11292,173,0,-64,90.90
19:05:34.097,0.02,-11344,4820,-11324,186,-32,-59,99.99
19:05:34.109,0.02,-11360,4812,-11204,175,40,-47,90.90
19:05:34.117,0.03,-11320,4796,-11240,165,13,-79,99.99
19:05:34.130,0.00,-11348,4860,-11144,190,23,-78,99.99
19:05:34.138,0.03,-11308,4784,-11168,179,8,-53,99.99
19:05:34.150,0.02,-11344,4752,-11156,174,38,-62,83.33
19:05:34.162,0.02,-11300,4812,-11132,190,39,-95,99.99
19:05:34.170,0.03,-11284,4800,-11376,201,17,-64,99.99
19:05:34.182,0.01,-11340,4824,-11268,189,8,-51,99.99
19:05:34.191,0.03,-11356,4792,-11236,167,-14,-45,90.90
19:05:34.203,0.03,-11288,4772,-11244,209,-18,-69,99.99
19:05:34.211,0.02,-11336,4796,-11216,194,-14,-40,90.90
19:05:34.223,0.03,-11360,4828,-11220,170,-21,-91,99.99
19:05:34.232,0.04,-11340,4792,-11264,195,51,-71,90.90
19:05:34.244,0.01,-11312,4800,-11304,198,-1,-47,99.99
